@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
51,0,1648,443,0.78814,1,0.030018,1,0.969982,0.058286,0.793184,1.260742,0
51,0,1647,444,0.787661,1,0.030035,1,0.969965,0.058319,0.792717,1.261484,0
51,0,1646,445,0.787183,1,0.030053,1,0.969947,0.058352,0.79225,1.262227,0
51,0,1645,446,0.786705,1,0.030071,1,0.969929,0.058386,0.791783,1.262972,0
51,0,1644,447,0.786227,1,0.030088,1,0.969912,0.058419,0.791317,1.263717,0
51,0,1643,448,0.785748,1,0.030106,1,0.969894,0.058453,0.79085,1.264463,0
51,0,1642,449,0.78527,1,0.030124,1,0.969876,0.058486,0.790383,1.26521,0
51,0,1641,450,0.784792,1,0.030142,1,0.969858,0.05852,0.789916,1.265957,0
51,0,1640,451,0.784314,1,0.03016,1,0.96984,0.058553,0.789449,1.266706,0
51,0,1639,452,0.783835,1,0.030178,1,0.969822,0.058587,0.788982,1.267456,0
51,0,1638,453,0.783357,1,0.030195,1,0.969805,0.058621,0.788515,1.268206,0
51,0,1637,454,0.782879,1,0.030213,1,0.969787,0.058654,0.788049,1.268957,0
51,0,1636,455,0.782401,1,0.030231,1,0.969769,0.058688,0.787582,1.26971,0
